RegionNr;Regioner;Kontrast
1;Østlandet;0
2;Agderkysten;0
3;Jæren;0
4;Kysten_fra_Stadt_til_Stavanger;0
5;Kysten_av_Møre_og_Romsdal;0
6;Kysten_av_Trøndelag;0
7;Nordlandskysten_sør_for_Vestfjorden;0
8;Lofoten_og_Vesterålen;0
9;Kysten_av_Troms;0
10;Kysten_av_Finnmark;0
11;Indre_Rogaland;1
12;Hardangerfjord;1
13;Osterøy;1
14;Austfjorden;1
15;Sognefjorden;1
16;Dalsfjorden;1
17;Førdefjorden;1
18;Nordfjord;1
19;Sunnmørsfjordene;1
20;Romsdalsfjord;1
21;Sunndalsfjord;1
22;Nordmørsfjordene;1
23;Hemnfjorden;1
24;Trondheimsfjorden;1
25;Åfjord;1
26;Namsfjorden;1
27;Follafjorden;1
28;Sørsalten;1
29;Bindalsfjorden;1
30;Vellfjorden;1
31;Vefsnfjorden;1
32;Ranafjorden;1
46;Sjona;1
33;Beiarfjorden;1
34;Skjerstadfjorden;1
35;Sørfolda;1
36;Ofot_Efjord_Tysfjord;1
37;Astafjorden_Salangen;1
38;Malangen;1
39;Balsfjord;1
40;Lyngen_Reisa;1
41;Kvænangen;1
42;Fjordene_i_Vest-Finnmark;1
43;Porsangerfjorden;1
44;Tanafjorden;1
45;Køfjord_Bøkfjord_Jarfjord;1
47;Drammen;1
